#  T(K)  <E>    <|M|>     Szi    C(Sz)    Sxi    C(Sx)   Z1X2    X1Z2    Bell
#  ---  ------  -----    -----   -----   -----   -----   -----  ------   -----
  4.10  -0.268   0.001  -0.002   0.002   0.271   0.001  -0.043  -0.022   0.134  
  4.10  -0.259   0.000   0.001   0.002   0.271   0.001   0.038   0.043   0.020  
  4.09  -0.260   0.001   0.001   0.003   0.272   0.001   0.022   0.011   0.044  
  4.09  -0.265   0.001   0.001   0.002   0.273   0.001   0.032   0.000   0.029  
  4.08  -0.281   0.001   0.000   0.002   0.273   0.001   0.005   0.005   0.068  
  4.08  -0.276   0.001  -0.000  -0.000   0.273   0.001  -0.005  -0.011   0.083  
  4.07  -0.251   0.000   0.000   0.004   0.270   0.001   0.000  -0.032   0.075  
  4.07  -0.280   0.001  -0.001   0.002   0.276   0.001  -0.022  -0.022   0.109  
  4.06  -0.271   0.002   0.002   0.003   0.273   0.001   0.049   0.016   0.006  
  4.06  -0.277   0.000   0.001   0.004   0.274   0.001   0.033  -0.033   0.029  
  4.05  -0.258   0.001  -0.001   0.004   0.279   0.001  -0.033   0.000   0.125  
  4.05  -0.261   0.000  -0.003   0.003   0.277   0.001  -0.094  -0.050   0.209  
  4.04  -0.260   0.001  -0.001   0.003   0.275   0.001  -0.017  -0.033   0.100  
  4.04  -0.280   0.000   0.002   0.004   0.272   0.001   0.044   0.027   0.013  
  4.03  -0.282   0.002   0.001   0.002   0.279   0.001   0.039   0.017   0.023  
  4.03  -0.278   0.002  -0.000   0.002   0.278   0.001  -0.011  -0.056   0.092  
  4.02  -0.275   0.001  -0.000  -0.000   0.274   0.000  -0.011  -0.011   0.092  
  4.02  -0.278   0.000  -0.001   0.003   0.277   0.001  -0.039  -0.022   0.132  
  4.01  -0.282   0.002  -0.000   0.000   0.278   0.001  -0.006   0.028   0.086  
  4.01  -0.292   0.001   0.001   0.002   0.276   0.001   0.039  -0.050   0.022  
  4.00  -0.284   0.000  -0.001   0.004   0.276   0.001  -0.028  -0.039   0.116  
  4.00  -0.275   0.001   0.001   0.001   0.277   0.001   0.039  -0.011   0.023  
  3.99  -0.279   0.000   0.002   0.002   0.280   0.001   0.056   0.062   0.000  
  3.99  -0.278   0.000   0.002   0.002   0.279   0.001   0.061   0.061  -0.008  
  3.98  -0.287   0.002  -0.001   0.003   0.277   0.000  -0.039  -0.033   0.132  
  3.98  -0.263   0.002  -0.002   0.006   0.278   0.000  -0.057  -0.006   0.159  
  3.97  -0.287   0.001  -0.001   0.004   0.281   0.001  -0.017   0.006   0.103  
  3.97  -0.268   0.001  -0.001   0.002   0.281   0.001  -0.017  -0.034   0.105  
  3.96  -0.278   0.000  -0.001   0.004   0.281   0.001  -0.017  -0.028   0.102  
  3.96  -0.298   0.001   0.000   0.003   0.282   0.001   0.000  -0.045   0.081  
  3.95  -0.279   0.001   0.001   0.003   0.284   0.001   0.017   0.017   0.058  
  3.95  -0.276   0.001  -0.001   0.003   0.280   0.000  -0.028  -0.045   0.119  
  3.94  -0.282   0.001   0.000   0.003   0.283   0.001   0.000  -0.062   0.081  
  3.94  -0.292   0.001  -0.001   0.002   0.282   0.001  -0.028  -0.034   0.121  
  3.93  -0.287   0.001  -0.002   0.002   0.284   0.001  -0.062  -0.017   0.169  
  3.93  -0.279   0.000   0.002   0.002   0.283   0.001   0.052   0.011   0.009  
  3.92  -0.285   0.002   0.001   0.004   0.290   0.000   0.017   0.035   0.059  
  3.92  -0.286   0.001  -0.000   0.004   0.285   0.001  -0.006   0.000   0.089  
  3.91  -0.306   0.000  -0.001   0.002   0.285   0.001  -0.040  -0.017   0.140  
  3.91  -0.290   0.002  -0.000   0.003   0.290   0.001  -0.011  -0.006   0.098  
  3.90  -0.296   0.000  -0.000   0.001   0.287   0.001  -0.006   0.063   0.091  
  3.90  -0.286   0.001  -0.001   0.003   0.286   0.001  -0.035   0.000   0.132  
  3.89  -0.291   0.001   0.002   0.003   0.287   0.000   0.047   0.057   0.018  
  3.89  -0.283   0.000   0.001   0.004   0.288   0.001   0.029   0.046   0.043  
  3.88  -0.297   0.000  -0.002   0.004   0.291   0.001  -0.058   0.006   0.166  
  3.88  -0.283   0.000  -0.001   0.002   0.292   0.001  -0.029   0.017   0.126  
  3.87  -0.300   0.002  -0.002   0.004   0.287   0.001  -0.070   0.011   0.185  
  3.87  -0.302   0.002  -0.002   0.004   0.289   0.001  -0.064  -0.040   0.175  
  3.86  -0.287   0.002   0.002   0.004   0.293   0.001   0.047   0.047   0.020  
  3.86  -0.313   0.001   0.001   0.004   0.296   0.001   0.035   0.095   0.038  
  3.85  -0.290   0.000   0.000   0.002   0.291   0.001   0.000  -0.093   0.085  
  3.85  -0.294   0.001  -0.002   0.003   0.296   0.001  -0.070   0.006   0.185  
  3.84  -0.272   0.000  -0.001   0.004   0.292   0.001  -0.035   0.029   0.136  
  3.84  -0.292   0.001   0.001   0.005   0.290   0.001   0.023   0.029   0.053  
  3.83  -0.305   0.000   0.000   0.002   0.295   0.001   0.000  -0.012   0.089  
  3.83  -0.298   0.001   0.001   0.003   0.290   0.001   0.018  -0.046   0.061  
  3.82  -0.301   0.000  -0.001   0.002   0.294   0.001  -0.024  -0.047   0.121  
  3.82  -0.303   0.003   0.002   0.003   0.297   0.001   0.065  -0.030  -0.003  
  3.81  -0.294   0.001   0.002   0.003   0.296   0.000   0.071   0.012  -0.012  
  3.81  -0.274   0.002   0.000   0.004   0.299   0.001   0.000  -0.018   0.091  
  3.80  -0.296   0.001   0.000   0.001   0.299   0.001   0.006   0.006   0.081  
  3.80  -0.316   0.001   0.002   0.003   0.300   0.001   0.066  -0.024  -0.002  
  3.79  -0.291   0.000   0.003   0.003   0.298   0.000   0.084   0.000  -0.029  
  3.79  -0.285   0.000  -0.001   0.004   0.298   0.001  -0.018   0.000   0.115  
  3.78  -0.296   0.000  -0.003   0.003   0.296   0.001  -0.077  -0.059   0.198  
  3.78  -0.301   0.001   0.002   0.002   0.298   0.001   0.054   0.030   0.014  
  3.77  -0.286   0.001  -0.001   0.002   0.299   0.001  -0.018  -0.030   0.116  
  3.77  -0.288   0.001   0.003   0.005   0.300   0.001   0.090   0.078  -0.036  
  3.76  -0.285   0.001   0.002   0.005   0.302   0.001   0.048   0.006   0.024  
  3.76  -0.309   0.002   0.001   0.003   0.301   0.001   0.018   0.006   0.066  
  3.75  -0.299   0.000   0.001   0.003   0.298   0.001   0.036   0.048   0.040  
  3.75  -0.308   0.000   0.000   0.004   0.303   0.001   0.012  -0.024   0.076  
  3.74  -0.313   0.002  -0.001   0.002   0.301   0.001  -0.030   0.006   0.134  
  3.74  -0.307   0.001   0.003   0.003   0.303   0.001   0.079   0.030  -0.019  
  3.73  -0.297   0.001   0.004   0.003   0.302   0.001   0.112   0.018  -0.063  
  3.73  -0.314   0.001  -0.000   0.002   0.305   0.001  -0.012   0.018   0.110  
  3.72  -0.316   0.001   0.001   0.004   0.306   0.001   0.018   0.049   0.068  
  3.72  -0.314   0.002   0.002   0.001   0.311   0.001   0.062   0.031   0.009  
  3.71  -0.299   0.001   0.002   0.003   0.306   0.001   0.068   0.049  -0.001  
  3.71  -0.336   0.002  -0.000   0.003   0.311   0.001  -0.012   0.031   0.113  
  3.70  -0.302   0.003   0.002   0.005   0.305   0.001   0.048   0.000   0.025  
  3.70  -0.322   0.000  -0.001   0.005   0.311   0.001  -0.025  -0.068   0.132  
  3.69  -0.310   0.000  -0.001   0.001   0.313   0.001  -0.037  -0.031   0.151  
  3.69  -0.305   0.001   0.004   0.004   0.305   0.001   0.112   0.055  -0.062  
  3.68  -0.311   0.000  -0.000   0.002   0.309   0.001  -0.006   0.093   0.106  
  3.68  -0.311   0.001  -0.000   0.003   0.309   0.001  -0.013  -0.031   0.116  
  3.67  -0.322   0.001   0.001   0.002   0.313   0.001   0.043   0.063   0.037  
  3.67  -0.309   0.001   0.002   0.005   0.311   0.001   0.062  -0.006   0.009  
  3.66  -0.313   0.001  -0.002   0.001   0.312   0.001  -0.057  -0.019   0.179  
  3.66  -0.290   0.001   0.001   0.004   0.311   0.001   0.019   0.012   0.071  
  3.65  -0.308   0.001   0.000   0.003   0.309   0.001   0.000  -0.012   0.097  
  3.65  -0.317   0.000   0.000   0.003   0.312   0.001   0.000  -0.006   0.097  
  3.64  -0.331   0.000   0.001   0.002   0.311   0.001   0.044   0.012   0.036  
  3.64  -0.328   0.000   0.002  -0.000   0.311   0.001   0.056   0.031   0.018  
  3.63  -0.299   0.003   0.000   0.003   0.310   0.001   0.006  -0.019   0.090  
  3.63  -0.309   0.002   0.000   0.001   0.317   0.001   0.000  -0.019   0.101  
  3.62  -0.318   0.003   0.000   0.004   0.316   0.001   0.006   0.057   0.092  
  3.62  -0.312   0.002   0.002   0.004   0.316   0.001   0.057   0.013   0.020  
  3.61  -0.325   0.002   0.002   0.003   0.317   0.001   0.057   0.089   0.021  
  3.61  -0.309   0.000  -0.001   0.003   0.317   0.001  -0.043   0.006   0.160  
  3.60  -0.325   0.002  -0.001   0.004   0.321   0.001  -0.019  -0.006   0.130  
  3.60  -0.334   0.002   0.000   0.003   0.314   0.001   0.006  -0.050   0.091  
  3.59  -0.335   0.002  -0.002   0.005   0.321   0.001  -0.064  -0.019   0.193  
  3.59  -0.308   0.002   0.003   0.003   0.319   0.001   0.109   0.089  -0.051  
  3.58  -0.333   0.002   0.001   0.003   0.318   0.001   0.038   0.095   0.048  
  3.58  -0.308   0.001  -0.001   0.004   0.325   0.001  -0.039  -0.026   0.162  
  3.57  -0.330   0.001   0.000   0.005   0.328   0.001   0.013  -0.020   0.089  
  3.57  -0.318   0.001   0.000   0.005   0.329   0.001   0.006  -0.020   0.099  
  3.56  -0.315   0.001   0.003   0.003   0.324   0.001   0.084  -0.019  -0.013  
  3.56  -0.344   0.002  -0.002   0.005   0.324   0.001  -0.078  -0.052   0.216  
  3.55  -0.346   0.002   0.001   0.002   0.323   0.001   0.020   0.006   0.079  
  3.55  -0.330   0.002   0.003   0.005   0.327   0.001   0.104   0.039  -0.040  
