#   n   1/n    <E>    <|M|>     Szi    C(Sz)    Sxi    C(Sx)   Z1X2    X1Z2    Bell
#  ---  ----  ------  -----    -----   -----   -----   -----   -----  ------   -----
  191    0.005  -0.224   0.007   0.000   0.001   0.215   0.000   0.008   0.057   0.035
  192    0.005  -0.216   0.007   0.000   0.001   0.213   0.000   0.016  -0.027   0.024
  193    0.005  -0.205   0.007   0.001   0.000   0.214   0.000   0.026  -0.003   0.010
  194    0.005  -0.212   0.007   0.000   0.002   0.213   0.000   0.016  -0.020   0.024
  195    0.005  -0.212   0.007   0.000   0.001   0.214   0.000   0.019   0.030   0.020
  196    0.005  -0.214   0.007  -0.000   0.001   0.213   0.000  -0.004   0.013   0.052
  197    0.005  -0.219   0.007   0.000   0.001   0.210   0.000   0.005   0.027   0.037
  198    0.005  -0.218   0.007  -0.000   0.001   0.211   0.000  -0.002  -0.011   0.048
  199    0.005  -0.213   0.007   0.000   0.001   0.214   0.000   0.003  -0.018   0.042
  200    0.005  -0.216   0.007   0.001   0.001   0.215   0.000   0.032   0.021   0.001
  201    0.005  -0.206   0.007  -0.000   0.001   0.216   0.000  -0.005  -0.001   0.054
  202    0.005  -0.216   0.007   0.000   0.002   0.212   0.000   0.017  -0.032   0.022
  203    0.005  -0.212   0.006   0.000   0.001   0.214   0.000   0.012   0.022   0.030
  204    0.005  -0.216   0.007  -0.001   0.001   0.212   0.000  -0.025  -0.023   0.081
  205    0.005  -0.212   0.006   0.000   0.000   0.212   0.000   0.011   0.001   0.029
  206    0.005  -0.219   0.007   0.001   0.001   0.216   0.000   0.040   0.015  -0.009
  207    0.005  -0.214   0.007  -0.000   0.001   0.212   0.000  -0.011  -0.011   0.061
  208    0.005  -0.219   0.006   0.000   0.000   0.213   0.000   0.021   0.000   0.016
  209    0.005  -0.209   0.006   0.000   0.000   0.215   0.000   0.005  -0.005   0.040
  210    0.005  -0.206   0.006  -0.001   0.001   0.212   0.000  -0.027  -0.016   0.084
