# T(K)  <E>    <|M|>     Szi    C(Sz)    Sxi    C(Sx)   Z1X2    X1Z2    Bell
# ---  ------  -----    -----   -----   -----   -----   -----  ------   -----
 2.13  -0.819   0.847  -0.027   0.030   0.795   0.007  -0.641  -0.689   1.551
 2.12  -0.776   0.868  -0.031   0.028   0.832   0.005  -0.777  -0.776   1.796
 2.11  -0.846   0.869  -0.022   0.026   0.824   0.005  -0.549  -0.494   1.460
 2.10  -0.806   0.865  -0.031   0.024   0.831   0.005  -0.778  -0.665   1.799
 2.09  -0.807   0.883  -0.029   0.028   0.840   0.004  -0.727  -0.840   1.736
 2.08  -0.881   0.882  -0.029   0.026   0.839   0.004  -0.725  -0.783   1.732
 2.07  -0.878   0.886  -0.022   0.026   0.837   0.004  -0.561  -0.502   1.501
 2.06  -0.862   0.892  -0.022   0.015   0.852   0.004  -0.569  -0.682   1.537
 2.05  -0.915   0.895  -0.024   0.022   0.859   0.003  -0.625  -0.458   1.620
 2.04  -0.868   0.900  -0.033   0.032   0.857   0.004  -0.860  -0.857   1.958
 2.03  -0.923   0.902  -0.029   0.022   0.852   0.004  -0.748  -0.568   1.796
 2.02  -0.859   0.904  -0.029   0.024   0.867   0.003  -0.755  -0.751   1.826
 2.01  -0.865   0.910  -0.033   0.030   0.869   0.004  -0.871  -0.811   1.991
 2.00  -0.859   0.910  -0.033   0.028   0.874   0.004  -0.884  -0.758   2.027
 1.99  -0.938   0.917  -0.029   0.028   0.870   0.004  -0.764  -0.870   1.851
 1.98  -0.892   0.917  -0.031   0.030   0.870   0.003  -0.814  -0.870   1.914
 1.97  -0.875   0.920  -0.029   0.028   0.876   0.004  -0.766  -0.759   1.862
 1.96  -0.949   0.923  -0.033   0.032   0.889   0.003  -0.881  -0.889   2.032
 1.95  -0.907   0.926  -0.031   0.030   0.889   0.002  -0.829  -0.771   1.965
 1.94  -0.856   0.931  -0.024   0.024   0.894   0.002  -0.652  -0.775   1.720
 1.93  -0.861   0.930  -0.033   0.030   0.897   0.003  -0.902  -0.838   2.088
 1.92  -0.914   0.933  -0.029   0.028   0.899   0.003  -0.776  -0.779   1.905
 1.91  -0.842   0.935  -0.033   0.032   0.903   0.002  -0.901  -0.903   2.090
